mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
180002,G Lakshminarayana,Elected,09-06-2024,In Office,First Term,Ananthapur,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.Sc. from Nagarjuna University, Nagarjuna Nagar, 28-3-1990",62,16,0,171,0.935064935, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180003,Appalanaidu Kalisetti,Elected,09-06-2024,In Office,First Term,Vizianagaram,Andhra Pradesh,Telugu Desam Party,Male,Graduate,LL.B. (Bachelor of Legislative Law) Andhra University 2011,53,21,0,180,0.993506494, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180004,B K Parthasarathi,Elected,09-06-2024,In Office,Second Term,Hindupur,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.A., S.A.P.S. College, Bangalore University, Year 1982",66,2,0,192,0.74025974, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180005,Balashowry Vallabhaneni,Elected,09-06-2024,In Office,Third Term,Machilipatnam,Andhra Pradesh,Jana Sena Party,Male,Post Graduate and above,Master of Arts Political Science from Andhra University in 2014,57,28,0,156,0.863636364, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180008,C M Ramesh,Elected,09-06-2024,In Office,First Term,Anakapalle,Andhra Pradesh,Bharatiya Janata Party,Male,Upto Higher Secondary,"Intermediate from Board of Intermediate Education, Andhra Pradesh 1983",61,19,0,138,0.818181818, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180010,Daggubati Purandeswari,Elected,09-06-2024,In Office,Third Term,Rajahmundry,Andhra Pradesh,Bharatiya Janata Party,Female,Graduate,"BA Litt. from SIT Women's College, 1976-79",67,24,0,195,0.922077922, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180011,Daggumalla Prasada Rao,Elected,09-06-2024,In Office,First Term,Chittoor,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.A. from V.R.S. & Y.R.N. College, Chirala (Andhra University) in the Year 1981",64,11,0,165,0.941558442, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180013,Gumma Thanuja Rani,Elected,09-06-2024,In Office,First Term,Araku,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Female,Graduate,"Medical Doctor in Profession ""General Medicine"" from the International Higher School of Medicine, Bishkek Kyrgyzstan, in 2017",33,17,0,102,0.909090909, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180014,Kesineni Sivanath,Elected,09-06-2024,In Office,First Term,Vijayawada,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.E. in Branch - II Mechanical Engineering in the year 1991 from Arulmigu Meenakshi Amman College Engineering, Kanchipuram, Madras University",57,13,0,173,0.863636364, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180018,Magunta Sreenivasulu Reddy,Elected,09-06-2024,In Office,Fifth Term,Ongole,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.Com., V.R. College (S V University), Nellore, Year of Completion 1973",72,12,0,183,0.87012987, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180019,Bastipati Nagaraju,Elected,09-06-2024,In Office,First Term,Kurnoolu,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"M.Sc. (Chemistry) - Swamy Ramananda Teerth Marathwada University, Nanded Maharashtra 2006",47,16,0,179,0.948051948, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180020,P V Midhun Reddy,Elected,09-06-2024,In Office,Third Term,Rajampet,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate and above,MBA from MBA International Business Schiller University Waterloo London in 2000,48,16,0,148,0.61038961, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180021,Prabhakar Reddy Vemireddy,Elected,09-06-2024,In Office,First Term,Nellore,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.Tech from Andhra University, Visakhapatnam in the year 2006",70,9,0,168,0.75974026, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180024,Sribharat Mathukumilli,Elected,09-06-2024,In Office,First Term,Visakhapatnam,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"M.A. from Stanford University, California in 2016, M.B.A. from Stanford University, California State, USA, in 2016",37,16,0,157,0.928571429, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180025,Tangella Uday Srinivas,Elected,09-06-2024,In Office,First Term,Kakinada,Andhra Pradesh,Jana Sena Party,Male,Upto Higher Secondary,"Intermediate Passed Year 2003, Board of Intermediate Education Andhra Pradesh",41,26,0,116,0.88961039, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180026,Y S Avinash Reddy,Elected,09-06-2024,In Office,Third Term,Kadapa,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate and above,"MBA from University of Worcester, U.K.",41,13,0,146,0.551948052, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180028,Tapir Gao,Elected,09-06-2024,In Office,Third Term,Arunachal East,Arunachal Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,M.A. (Pol. Sc.) from Arunachal University in year 1990,61,11,0,113,0.980519481, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,11,NA,113,0.980519481,Lok Sabha
180030,Bijuli Kalita Medhi,Elected,09-06-2024,In Office,First Term,Guwahati,Assam,Bharatiya Janata Party,Female,Post Graduate and above,M.A. in Philosophy from University of Gauhati in 2002,47,8,0,72,0.935064935, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180031,Dilip Saikia,Elected,09-06-2024,In Office,Second Term,Darang Udalguri,Assam,Bharatiya Janata Party,Male,Graduate,B.Com. from Gauhati Commerce College under Gauhati University in year 1994,52,57,0,278,0.863636364, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180032,Gaurav Gogoi,Elected,09-06-2024,In Office,Third Term,Jorhat,Assam,Indian National Congress,Male,Post Graduate and above,"M.P.A. from Robert F Wagner Graduate School of Public Service, New York University in year 2010",43,33,0,147,0.772727273, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180033,Joyanta Basumatary,Elected,09-06-2024,In Office,First Term,Kokrajhar,Assam,"United Peoples Party, Liberal",Male,Graduate,B.A. from Bongaigaon College in 1999,50,24,0,86,0.818181818, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180034,Kamakhya Prasad Tasa,Elected,09-06-2024,In Office,Second Term,Kaziranga,Assam,Bharatiya Janata Party,Male,Post Graduate and above,M.A from Dibrugarh University in year 1999,51,19,0,72,0.811688312, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180035,Kripanath Mallah,Elected,09-06-2024,In Office,Second Term,Karimganj,Assam,Bharatiya Janata Party,Male,Graduate,"B.Sc. from Karimganj College, Assam University in 1997",52,6,0,96,0.922077922, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
